,#,Name,Country,Latitude,Longitude
8,309,Épinay-sur-Orge,France,48.67256219977352,2.324446
9,310,Épinay-sur-Seine,France,48.95251809970411,2.3145039
10,311,Éragny-sur-Oise,France,49.01921779968758,2.0910817
11,312,Ermont,France,48.991767599694384,2.2585678999999996
12,313,Ernée,France,48.296793499866034,-0.9351068999999997
13,314,Étampes,France,48.434462099832324,2.1614464
14,315,Étaples,France,50.513955199341275,1.6386252
15,316,Évreux,France,49.026890299685675,1.1510164
16,317,Évry,France,48.62416649978552,2.4289667
17,318,Eysines,France,44.88546670047877,-0.6486943
18,319,Faches-Thumesnil,France,50.60260309932345,3.0697877
19,320,Falaise,France,48.89647409971802,-0.1999129
0,321,Fameck,France,49.30434969961731,6.1041352
1,322,Fécamp,France,49.75777289950829,0.374891
2,323,Ferney-Voltaire,France,46.25557440030107,6.1076131
3,324,Figeac,France,44.609233500500814,2.0324320999999994
4,325,Firminy,France,45.3869468004267,4.2858545
5,326,Flers,France,48.746605899755174,-0.5676372999999999
6,327,Fleurance,France,43.84929500053701,0.6640617
7,328,Fleury-les-Aubrais,France,47.93091559995412,1.9208882999999999
8,329,Floirac,France,44.83270000048336,-0.5208229999999999
9,330,Florac,France,44.323818500518605,3.5940267
10,331,Florange,France,49.32780689961157,6.122827
11,332,Foix,France,42.96389980053564,1.6053807
12,333,Fondettes,France,47.4036631000751,0.5961846
13,334,Fonsorbes,France,43.53532730054174,1.2314988
14,335,Fontaine,France,45.19501830044845,5.6869624
15,336,Fontainebleau,France,48.40493749983958,2.7015872
16,337,Fontenay-aux-Roses,France,48.79110519974414,2.2870373
17,338,Fontenay-le-Comte,France,46.466077100264314,-0.8064003
18,339,Fontenay-le-Fleury,France,48.81065779973929,2.0461549
19,340,Fontenay-sous-Bois,France,48.849072099729746,2.4749346999999995
0,341,Forbach,France,49.18628219964631,6.895856199999999
1,342,Fos-sur-Mer,France,43.438071400542015,4.945594999999999
2,343,Fouesnant,France,47.89454019996271,-4.011536499999999
3,344,Fougères,France,48.350336199852954,-1.1958526
4,345,Fourmies,France,50.017174099448404,4.0458492
5,346,Francheville,France,45.735748000381484,4.7647303999999995
6,347,Franconville-la-Garenne,France,48.98602499969581,2.2303498
7,348,Fréjus,France,43.43303080054199,6.736018199999999
8,349,Fresnes,France,48.75466869975318,2.3227967
9,350,Freyming-Merlebach,France,49.146943699656,6.818482899999999
10,351,Frontignan,France,43.448761500542,3.7530636
11,352,Fuveau,France,43.453899700542,5.560919700000001
12,353,Gagny,France,48.88537079972073,2.5361783
13,354,Gaillac,France,43.90167660053566,1.8967943000000003
14,355,Gaillard,France,46.18384370031305,6.211168999999999
15,356,Gap,France,44.56120320050416,6.082063899999999
16,357,Garches,France,48.843748599731065,2.1853699
17,358,Gardanne,France,43.455613000542,5.4710661
18,359,Garges-lès-Gonesse,France,48.970384099699686,2.3990239999999994
19,360,Genas,France,45.73305850038187,4.9965605
0,361,Gennevilliers,France,48.92542209971082,2.2940121999999996
1,362,Gentilly,France,48.81536559973811,2.3483549
2,363,Gérardmer,France,48.07057719992082,6.877696499999999
3,364,Gerzat,France,45.82504040036876,3.1435184999999994
4,365,Gex,France,46.33243780028792,6.058883100000001
5,366,Gien,France,47.691857500009995,2.6313888999999997
6,367,Gif-sur-Yvette,France,48.701882299766275,2.134529
